battery_percentage,battery_age_years,ambient_temp,terrain_slope,speed_avg_kmph,acceleration_level,hvac_on,driving_mode,drive_type,top_speed_kmph,total_power_kw,total_torque_nm,battery_capacity_kwh,battery_per_kWh,battery_remaining_kWh,electric_range_km
84.38,3.94,cold,-3.7,72.6,0.31,no,Normal,FWD,226.63,180.28,526.5,83.57,1.01,70.52,496.06
25.51,5.74,mild,-0.58,102.83,1.0,yes,Eco,RWD,143.52,185.3,151.45,48.61,0.52,12.4,257.88
52.7,9.3,hot,-2.82,123.25,0.55,yes,Sport,FWD,195.65,118.93,273.07,71.82,0.73,37.85,267.37
51.82,6.24,cold,3.99,99.51,0.26,no,Sport,FWD,207.12,107.6,519.37,68.63,0.76,35.56,331.45
48.27,8.48,cold,1.51,60.53,0.83,yes,Sport,FWD,137.06,187.42,507.12,69.27,0.7,33.44,274.68
68.47,1.62,cold,1.27,70.85,0.87,yes,Eco,RWD,182.7,192.39,278.22,83.3,0.82,57.04,405.69
19.66,3.59,mild,-1.12,49.56,0.95,no,Sport,FWD,244.29,96.37,347.4,49.11,0.4,9.66,271.55
10.02,8.18,hot,0.23,85.32,0.49,yes,Normal,RWD,136.54,100.06,166.88,44.18,0.23,4.43,207.0
66.56,3.44,cold,-0.02,33.39,0.74,no,Normal,FWD,228.87,78.24,565.12,88.12,0.76,58.65,423.65
75.61,0.4,hot,-0.93,120.83,0.48,no,Sport,FWD,221.98,136.56,468.21,90.1,0.84,68.12,491.59
55.85,1.18,hot,-4.99,51.91,0.11,yes,Normal,RWD,234.22,77.54,282.47,36.83,1.52,20.57,312.96
77.54,3.61,cold,1.32,124.2,0.12,no,Sport,FWD,215.58,187.95,469.54,78.67,0.99,61.0,432.64
36.28,5.45,hot,-3.95,125.22,0.77,yes,Eco,RWD,180.62,132.61,211.0,50.38,0.72,18.28,235.87
14.87,0.73,mild,1.2,36.17,0.36,yes,Eco,RWD,163.94,105.97,166.0,82.48,0.18,12.26,292.39
59.48,9.04,cold,0.49,111.95,0.77,yes,Normal,RWD,193.87,73.83,567.77,71.14,0.84,42.31,293.1
23.41,0.32,cold,-0.96,30.53,0.88,yes,Sport,RWD,187.79,180.88,209.27,91.74,0.26,21.48,260.2
64.35,8.75,mild,-1.09,98.52,0.35,no,Normal,RWD,144.29,170.41,528.94,46.97,1.37,30.23,342.52
61.63,4.97,cold,3.51,117.28,0.66,no,Normal,FWD,207.17,141.96,412.43,46.98,1.31,28.95,270.89
17.95,7.78,mild,-3.67,87.1,0.04,yes,Normal,RWD,142.06,140.81,197.51,81.05,0.22,14.55,268.29
27.08,2.75,cold,-4.49,75.85,0.4,no,Sport,FWD,185.2,93.82,453.71,70.38,0.38,19.06,287.0
77.69,8.78,cold,0.11,60.66,0.3,no,Sport,RWD,163.66,129.46,500.81,76.19,1.02,59.19,414.9
53.37,7.26,mild,4.83,95.93,0.16,yes,Sport,FWD,215.9,125.92,214.09,44.49,1.2,23.74,279.0
24.17,2.26,hot,3.71,22.89,0.11,yes,Normal,RWD,123.74,105.78,552.44,80.34,0.3,19.42,273.75
12.52,1.0,hot,3.91,129.92,0.34,yes,Sport,RWD,238.09,199.86,478.1,95.89,0.13,12.01,230.31
64.85,4.12,hot,-1.0,128.42,0.57,no,Normal,FWD,220.3,157.79,274.5,79.22,0.82,51.37,406.63
45.21,10.0,cold,-0.47,71.59,0.88,no,Sport,FWD,236.05,157.35,516.44,53.78,0.84,24.31,247.83
93.84,2.06,cold,-3.95,27.6,0.49,yes,Sport,FWD,191.43,162.84,435.6,92.81,1.01,87.09,503.23
55.69,4.72,mild,4.17,21.8,0.21,yes,Eco,FWD,156.07,177.14,571.07,30.97,1.8,17.25,277.67
54.96,8.26,mild,3.59,26.07,0.87,no,Eco,RWD,144.49,156.28,547.09,44.13,1.25,24.25,299.25
61.38,9.21,mild,0.31,111.01,0.93,yes,Normal,FWD,222.78,51.4,302.75,64.08,0.96,39.33,322.37
75.33,0.58,mild,3.27,129.74,0.73,no,Sport,RWD,207.65,72.57,341.34,30.19,2.5,22.74,289.37
26.3,6.67,hot,-0.1,70.76,0.48,no,Sport,FWD,222.59,66.13,388.11,46.15,0.57,12.14,268.85
83.7,2.44,mild,-4.22,56.09,0.5,no,Eco,FWD,243.96,168.14,441.36,52.97,1.58,44.34,444.35
18.19,3.7,cold,0.03,41.45,0.26,no,Sport,RWD,207.04,118.9,431.05,83.84,0.22,15.25,273.62
26.47,9.84,mild,0.12,129.74,0.55,no,Sport,RWD,242.09,55.56,331.49,59.82,0.44,15.83,229.08
76.58,6.78,mild,-3.57,84.64,0.11,no,Sport,RWD,155.71,104.45,446.93,82.61,0.93,63.26,479.92
88.13,4.77,mild,1.75,48.19,0.65,yes,Eco,RWD,122.54,128.41,260.15,73.94,1.19,65.16,476.37
26.68,8.44,mild,-1.84,78.63,0.44,yes,Eco,RWD,193.74,56.32,139.61,99.68,0.27,26.59,328.31
63.06,0.19,mild,4.09,57.48,0.22,yes,Normal,RWD,226.29,171.8,340.12,33.89,1.86,21.37,315.86
60.35,1.67,mild,1.14,86.19,0.31,yes,Sport,FWD,154.76,116.35,541.77,90.54,0.67,54.64,447.74
72.25,4.77,hot,1.16,127.7,0.53,no,Normal,RWD,248.7,164.59,385.35,37.88,1.91,27.37,291.54
68.21,5.3,mild,-0.81,118.42,0.99,yes,Sport,RWD,210.66,60.47,400.68,79.25,0.86,54.06,389.66
48.03,9.36,mild,-1.06,28.16,0.7,yes,Eco,RWD,202.39,152.34,132.87,72.12,0.67,34.64,322.5
96.75,5.48,hot,4.41,61.8,0.67,no,Normal,RWD,245.33,142.72,383.46,40.99,2.36,39.66,351.21
41.02,0.24,hot,2.91,67.12,0.32,yes,Eco,FWD,203.52,94.76,169.18,35.84,1.14,14.7,299.98
38.66,0.25,cold,-1.72,125.62,0.11,yes,Normal,RWD,210.78,183.89,324.92,95.63,0.4,36.97,348.7
21.44,3.07,cold,1.4,48.86,0.46,no,Eco,RWD,245.32,169.79,161.4,54.25,0.4,11.63,267.85
34.16,2.43,mild,1.49,82.7,0.39,yes,Normal,RWD,134.62,153.64,216.38,50.29,0.68,17.18,318.55
78.67,0.18,mild,-0.64,76.03,0.82,no,Eco,FWD,149.35,69.36,196.49,72.08,1.09,56.71,500.0
55.79,9.9,hot,-1.73,22.98,0.77,yes,Sport,RWD,208.46,113.09,534.13,61.21,0.91,34.15,284.29
41.73,8.94,mild,-1.22,70.35,0.65,yes,Sport,FWD,128.67,72.94,221.8,54.31,0.77,22.66,272.64
20.51,9.5,hot,-4.57,104.66,0.13,yes,Sport,FWD,210.56,111.8,579.97,57.47,0.36,11.79,196.81
88.77,3.46,cold,4.71,102.71,0.34,yes,Eco,FWD,138.37,141.74,302.28,41.15,2.16,36.53,326.59
65.2,0.49,cold,-2.71,110.61,0.29,no,Eco,FWD,180.73,65.17,435.85,52.25,1.25,34.07,360.25
90.65,1.56,hot,3.58,128.54,0.31,no,Eco,FWD,159.28,122.22,114.0,34.67,2.61,31.43,351.51
49.9,0.37,cold,4.8,109.91,0.22,yes,Sport,RWD,156.39,122.32,114.55,49.52,1.01,24.71,281.16
85.08,4.13,hot,3.74,107.68,0.64,yes,Eco,FWD,206.37,190.34,334.36,95.45,0.89,81.21,499.15
44.89,6.87,cold,-4.96,23.78,0.08,yes,Sport,FWD,153.77,176.9,566.66,91.77,0.49,41.2,318.78
33.8,9.76,cold,-4.12,74.77,0.14,no,Normal,FWD,232.04,183.91,286.78,47.77,0.71,16.15,236.22
19.87,7.02,hot,-2.13,62.1,0.6,no,Normal,FWD,133.03,139.44,443.34,33.49,0.59,6.65,242.63
81.27,5.38,mild,-4.67,85.37,0.23,no,Eco,RWD,215.76,147.62,361.31,37.94,2.14,30.83,375.1
37.48,6.0,hot,4.98,42.06,0.89,yes,Eco,FWD,167.99,85.29,286.74,96.41,0.39,36.13,323.6
48.5,0.89,cold,4.22,29.62,0.3,no,Eco,RWD,175.73,119.13,332.53,82.79,0.59,40.15,386.16
85.54,3.61,mild,-1.33,57.17,0.89,no,Sport,RWD,186.79,93.06,431.97,79.72,1.07,68.19,501.42
41.25,3.69,hot,-4.32,111.47,0.87,no,Sport,RWD,158.83,156.52,102.41,64.03,0.64,26.41,276.06
66.31,6.97,cold,-3.23,71.54,0.41,no,Normal,FWD,135.81,170.21,237.39,67.65,0.98,44.86,377.07
65.71,3.17,hot,-3.62,67.1,0.95,no,Sport,FWD,122.88,121.28,160.89,57.53,1.14,37.8,357.54
98.54,9.7,mild,-1.16,38.2,0.26,no,Eco,FWD,218.24,82.27,447.42,90.41,1.09,89.09,600.93
53.74,4.87,hot,2.47,64.52,0.52,yes,Eco,FWD,239.55,138.34,451.46,61.11,0.88,32.84,338.4
60.86,5.88,mild,-0.63,84.69,0.19,yes,Eco,FWD,247.65,149.02,174.79,82.79,0.74,50.39,444.97
35.06,0.8,cold,-3.13,29.51,0.67,yes,Eco,FWD,142.9,107.33,381.67,51.77,0.68,18.15,275.34
46.01,4.1,mild,0.56,46.67,0.56,yes,Sport,FWD,123.65,75.15,131.75,30.74,1.5,14.14,273.46
85.86,1.97,mild,2.83,95.14,0.52,yes,Normal,RWD,218.19,51.34,530.85,59.18,1.45,50.81,429.17
43.55,3.82,mild,-1.75,124.39,0.75,no,Normal,FWD,220.79,129.33,594.52,70.84,0.61,30.85,331.98
21.7,6.7,mild,3.94,21.11,0.48,yes,Eco,RWD,186.47,189.84,226.9,47.37,0.46,10.28,230.99
75.57,4.03,cold,-3.0,65.22,0.91,no,Normal,FWD,126.85,105.1,155.3,48.43,1.56,36.6,322.18
57.19,6.65,hot,-3.39,87.5,0.84,no,Normal,FWD,247.47,177.69,247.98,80.41,0.71,45.99,375.48
40.51,3.46,cold,2.58,63.96,0.75,no,Eco,RWD,185.95,97.54,210.54,95.99,0.42,38.89,368.79
67.2,9.83,hot,-2.32,69.68,0.95,yes,Eco,RWD,159.74,109.72,364.25,91.21,0.74,61.29,411.05
71.95,8.84,mild,-3.54,119.82,0.12,yes,Normal,RWD,135.12,104.25,214.51,81.38,0.88,58.55,428.14
14.73,0.05,hot,2.09,97.79,0.65,no,Sport,FWD,127.12,52.36,293.08,38.74,0.38,5.71,256.13
54.83,2.09,cold,4.61,121.16,0.23,yes,Normal,FWD,235.71,150.16,332.4,90.29,0.61,49.51,357.45
33.78,5.36,cold,4.65,34.48,0.77,yes,Sport,RWD,232.36,160.4,102.78,40.29,0.84,13.61,182.69
27.75,6.59,mild,-1.3,80.5,0.75,yes,Eco,FWD,211.53,182.13,374.29,58.26,0.48,16.17,259.59
14.1,0.58,cold,-0.39,53.51,0.34,yes,Normal,RWD,202.97,90.74,227.08,62.19,0.23,8.77,235.2
80.06,0.2,hot,-2.31,103.08,0.88,no,Normal,FWD,162.94,143.63,208.27,96.04,0.83,76.89,539.95
38.01,5.21,mild,3.1,46.2,0.21,no,Normal,RWD,240.49,178.14,283.44,52.15,0.73,19.82,325.71
65.91,4.68,mild,0.33,28.67,0.96,yes,Eco,FWD,154.67,87.57,184.18,89.1,0.74,58.73,450.63
53.09,5.78,mild,-3.98,51.15,0.62,yes,Eco,RWD,152.87,88.27,503.89,54.51,0.97,28.94,334.89
17.77,4.58,hot,-0.33,39.06,0.26,no,Sport,RWD,235.39,191.83,126.35,92.98,0.19,16.52,289.27
80.82,9.92,hot,-2.11,31.12,0.97,no,Eco,RWD,173.78,95.51,116.76,34.17,2.37,27.62,302.32
45.18,7.74,hot,0.2,111.71,0.38,no,Sport,RWD,208.98,76.42,343.78,52.48,0.86,23.71,294.75
58.25,3.93,cold,4.58,111.26,0.27,yes,Normal,FWD,189.24,177.54,303.83,40.34,1.44,23.5,265.9
78.64,3.98,hot,1.83,46.73,0.3,no,Normal,RWD,246.02,64.57,376.27,72.83,1.08,57.27,476.81
83.17,4.19,cold,3.14,44.76,0.92,yes,Sport,RWD,202.61,90.29,141.53,47.87,1.74,39.81,293.1
99.94,9.81,cold,2.27,20.76,0.28,yes,Sport,FWD,129.63,80.75,346.28,72.36,1.38,72.32,408.78
83.84,3.85,hot,4.09,24.96,0.84,yes,Sport,RWD,223.21,169.83,140.18,50.71,1.65,42.52,321.6
91.37,1.55,cold,0.51,104.25,0.74,no,Sport,FWD,218.95,183.83,512.54,64.03,1.43,58.5,428.06
79.15,1.18,mild,3.28,117.28,0.14,no,Eco,RWD,148.72,136.31,362.47,92.54,0.86,73.25,564.21
76.65,6.27,hot,3.1,43.71,0.46,no,Sport,FWD,150.88,164.62,512.12,46.78,1.64,35.86,348.87
32.52,6.88,cold,2.44,34.75,0.71,yes,Normal,FWD,212.47,101.09,205.05,90.51,0.36,29.43,266.58
91.06,5.65,hot,0.65,84.46,0.08,yes,Normal,RWD,242.2,70.69,149.3,98.76,0.92,89.93,566.07
46.37,4.19,hot,3.08,60.3,0.39,no,Normal,FWD,219.07,156.25,181.73,91.33,0.51,42.35,392.71
77.23,6.98,mild,-0.6,95.39,0.4,no,Eco,FWD,138.62,109.6,417.95,54.24,1.42,41.89,411.55
72.3,6.74,cold,4.84,72.04,0.63,no,Sport,FWD,227.44,103.82,168.81,41.31,1.75,29.87,299.5
82.0,9.54,hot,-1.13,49.63,0.0,yes,Normal,RWD,178.89,150.52,127.76,43.66,1.88,35.8,347.63
39.16,1.75,cold,-3.26,92.75,0.98,yes,Normal,RWD,172.73,143.7,384.83,60.78,0.64,23.8,266.84
97.4,5.85,mild,1.07,44.71,0.76,yes,Sport,RWD,147.48,166.01,596.02,69.38,1.4,67.58,465.32
71.19,0.61,mild,-2.14,24.67,0.93,no,Eco,RWD,248.48,99.04,287.4,93.57,0.76,66.61,527.01
59.0,3.45,cold,-4.38,118.47,0.1,yes,Sport,RWD,247.58,92.28,544.89,88.07,0.67,51.96,372.71
37.53,0.74,hot,-2.76,100.41,0.19,no,Normal,FWD,150.77,81.95,555.36,30.36,1.24,11.39,283.53
72.48,0.04,hot,-4.07,68.86,0.07,no,Normal,RWD,202.33,153.81,114.17,67.3,1.08,48.78,463.48
21.77,5.51,mild,0.89,121.95,0.92,yes,Eco,FWD,158.88,61.08,420.76,90.93,0.24,19.8,270.75
50.79,8.67,cold,4.34,46.85,0.78,yes,Normal,RWD,198.03,56.88,325.82,64.68,0.79,32.85,286.52
92.31,0.18,mild,-3.12,125.67,0.83,yes,Eco,FWD,163.59,119.25,561.2,55.46,1.66,51.2,420.71
38.7,0.63,cold,-1.05,55.17,0.83,no,Eco,RWD,237.1,58.71,519.17,92.48,0.42,35.79,357.22
87.73,3.6,cold,-1.43,21.44,0.26,no,Sport,RWD,132.4,180.91,344.11,98.1,0.89,86.06,524.9
95.3,4.68,hot,3.0,72.75,0.03,no,Eco,FWD,151.28,61.88,212.48,54.53,1.75,51.97,459.6
43.16,4.53,hot,1.53,100.85,0.61,no,Eco,RWD,181.9,115.61,272.64,87.96,0.49,37.96,375.99
17.02,2.05,hot,-1.41,81.51,0.4,yes,Sport,RWD,223.42,148.34,341.9,91.51,0.19,15.58,253.62
96.16,1.01,hot,-1.86,105.43,0.29,yes,Normal,RWD,222.68,143.3,368.66,73.42,1.31,70.6,492.87
89.93,3.99,hot,-1.72,119.22,0.96,no,Eco,FWD,190.4,93.87,555.59,86.18,1.04,77.5,500.5
96.31,8.67,cold,-3.06,101.13,0.13,yes,Normal,RWD,211.45,145.86,233.7,41.36,2.33,39.83,307.62
31.66,9.48,mild,-3.04,52.45,0.5,yes,Normal,FWD,225.89,149.35,343.54,60.12,0.53,19.03,281.28
72.29,9.34,cold,-1.57,108.25,0.3,no,Sport,FWD,137.07,162.05,532.5,84.2,0.86,60.87,400.33
20.95,4.36,mild,-0.93,109.89,0.23,no,Normal,RWD,197.15,104.61,205.49,56.36,0.37,11.81,279.33
68.37,4.41,hot,4.08,99.3,0.95,no,Sport,FWD,172.48,179.7,473.32,79.22,0.86,54.16,388.67
48.47,5.83,cold,-1.78,20.07,0.75,yes,Normal,RWD,208.75,182.79,458.93,86.82,0.56,42.08,312.89
44.2,1.47,cold,-2.34,76.73,0.86,yes,Eco,FWD,169.59,105.75,283.2,49.68,0.89,21.96,266.94
61.22,9.66,cold,0.7,26.54,0.68,no,Eco,RWD,131.5,199.71,219.63,96.7,0.63,59.2,405.39
91.03,4.05,hot,-2.57,27.1,0.7,no,Eco,RWD,207.32,94.87,432.74,56.04,1.62,51.01,427.78
87.65,6.55,cold,-4.82,44.21,0.73,yes,Eco,RWD,124.91,115.17,105.04,90.79,0.97,79.58,490.21
40.94,6.02,hot,1.11,39.92,0.26,yes,Eco,RWD,246.71,196.56,170.72,52.04,0.79,21.31,299.2
56.63,3.99,mild,3.4,65.46,0.86,no,Normal,RWD,157.33,109.13,265.72,94.61,0.6,53.58,440.13
29.57,2.57,hot,-2.24,77.98,0.42,no,Sport,FWD,209.5,62.56,302.33,49.58,0.6,14.66,288.61
56.2,4.2,mild,0.5,100.69,0.09,no,Eco,FWD,217.23,154.74,231.28,77.18,0.73,43.38,447.38
73.94,3.76,hot,0.23,69.88,0.85,no,Normal,RWD,200.5,151.51,288.85,64.57,1.15,47.74,396.41
36.05,5.33,hot,-0.81,23.65,0.87,yes,Eco,RWD,235.21,84.27,299.71,60.17,0.6,21.69,282.55
46.38,9.4,cold,2.69,107.37,0.46,yes,Eco,RWD,228.83,157.2,350.18,94.38,0.49,43.77,318.97
48.37,6.23,hot,0.48,113.19,0.87,no,Eco,RWD,166.27,170.52,344.82,72.12,0.67,34.88,321.32
55.88,6.81,hot,-2.75,120.13,0.23,no,Normal,FWD,218.08,130.55,357.76,91.45,0.61,51.1,398.91
22.46,3.07,hot,2.63,38.39,0.07,no,Sport,FWD,225.14,177.15,499.93,89.07,0.25,20.01,300.65
75.81,1.13,mild,-1.58,96.05,0.03,yes,Sport,FWD,142.47,118.42,349.25,68.56,1.11,51.98,450.95
35.04,3.68,hot,-2.25,116.33,0.57,yes,Eco,FWD,212.44,124.79,594.69,55.26,0.63,19.36,267.81
82.15,1.72,cold,-3.25,37.67,0.33,yes,Normal,RWD,131.21,192.26,126.84,86.37,0.95,70.95,460.29
33.78,9.63,mild,-4.76,72.48,0.48,no,Eco,RWD,188.41,195.95,205.66,31.88,1.06,10.77,263.15
53.81,5.18,hot,2.63,108.53,0.92,no,Sport,FWD,206.81,170.92,237.63,79.58,0.68,42.82,355.61
61.89,5.24,mild,4.56,34.99,0.58,no,Eco,FWD,233.27,51.06,177.1,88.49,0.7,54.77,449.29
75.36,2.12,cold,1.3,85.51,0.13,no,Eco,FWD,215.45,131.01,307.79,85.55,0.88,64.47,507.45
95.29,2.09,cold,-1.98,62.81,0.88,no,Sport,RWD,131.06,73.89,416.17,78.75,1.21,75.04,495.68
49.45,9.71,hot,1.59,83.25,0.45,no,Sport,RWD,192.92,81.29,418.49,97.77,0.51,48.35,383.66
91.53,1.76,hot,4.96,67.1,0.24,yes,Sport,FWD,185.34,130.64,448.3,93.24,0.98,85.34,542.11
96.15,8.7,cold,2.0,122.96,0.81,no,Sport,RWD,224.06,130.85,576.42,50.53,1.9,48.58,316.34
68.74,3.99,hot,-0.07,121.44,0.86,no,Sport,FWD,147.1,87.9,188.71,41.15,1.67,28.29,303.78
95.25,1.99,mild,-1.62,97.13,0.94,no,Normal,RWD,226.37,96.78,288.9,82.2,1.16,78.3,562.16
25.03,3.34,cold,-0.59,79.51,0.72,no,Sport,FWD,206.16,186.3,165.72,70.15,0.36,17.56,267.04
16.65,5.81,cold,-3.85,25.74,0.91,no,Sport,RWD,166.78,185.1,380.37,64.36,0.26,10.72,187.43
32.45,9.96,hot,-2.75,97.97,0.08,no,Normal,FWD,135.41,55.94,387.91,38.32,0.85,12.43,273.58
15.07,6.3,mild,4.6,73.83,0.31,no,Normal,RWD,247.21,194.27,549.5,70.8,0.21,10.67,277.2
85.04,0.43,cold,-2.84,102.88,0.61,yes,Eco,FWD,240.87,108.89,226.9,65.19,1.3,55.44,405.65
66.32,8.22,mild,-4.68,94.35,0.79,no,Eco,RWD,158.4,96.32,582.4,71.43,0.93,47.37,415.98
18.52,8.22,hot,3.24,114.44,0.97,no,Sport,RWD,168.19,64.22,207.95,69.56,0.27,12.88,210.61
28.53,8.76,mild,-3.79,35.9,0.94,no,Normal,FWD,231.3,78.16,285.1,45.08,0.63,12.86,255.81
84.37,5.6,hot,4.93,81.08,0.62,no,Eco,RWD,123.04,75.81,252.1,44.54,1.89,37.58,365.04
26.94,9.43,hot,4.03,34.54,0.2,no,Normal,RWD,133.03,124.65,293.55,53.31,0.51,14.36,265.2
14.73,3.43,hot,-1.06,26.92,0.21,no,Sport,FWD,163.53,99.56,207.7,98.16,0.15,14.46,285.37
46.01,3.15,hot,1.24,117.23,0.37,no,Eco,FWD,226.57,165.76,397.81,44.23,1.04,20.35,321.02
90.91,6.74,mild,4.56,100.81,0.54,no,Normal,RWD,248.83,151.22,204.21,72.86,1.25,66.24,489.79
20.33,5.14,cold,1.01,112.61,0.28,yes,Eco,FWD,156.92,132.64,454.29,37.77,0.54,7.68,214.37
85.08,8.11,cold,-3.75,101.46,0.24,yes,Normal,RWD,145.04,86.89,310.67,72.49,1.17,61.67,407.21
48.37,3.84,cold,0.37,119.43,0.84,yes,Normal,RWD,138.44,184.97,449.08,62.84,0.77,30.4,265.5
84.88,1.41,hot,-3.45,118.56,0.75,no,Sport,FWD,131.49,52.56,552.61,83.87,1.01,71.19,471.67
72.32,2.66,hot,2.62,56.74,0.46,yes,Eco,FWD,207.23,118.35,129.76,54.37,1.33,39.32,381.46
77.29,4.6,hot,0.11,39.78,0.87,yes,Eco,FWD,231.14,176.17,563.32,83.25,0.93,64.34,435.96
13.05,9.05,cold,3.56,93.38,0.02,yes,Normal,FWD,165.6,159.77,283.3,79.91,0.16,10.43,217.79
21.12,4.08,hot,3.91,129.38,0.85,yes,Eco,FWD,215.63,103.88,487.55,40.4,0.52,8.53,210.32
75.06,3.18,mild,-0.99,51.3,0.19,no,Normal,FWD,200.66,152.18,126.3,31.21,2.4,23.43,358.9
30.93,4.48,cold,1.25,74.99,0.68,no,Sport,FWD,215.31,99.1,532.83,89.43,0.35,27.66,298.75
92.2,9.75,mild,1.54,86.14,0.47,yes,Normal,FWD,248.91,143.05,226.86,69.6,1.32,64.17,464.76
51.87,8.71,hot,2.84,87.37,0.7,no,Normal,FWD,150.72,147.09,497.66,58.44,0.89,30.31,316.73
47.97,1.64,cold,-3.48,111.56,0.29,yes,Sport,FWD,238.44,150.7,443.39,84.9,0.57,40.73,319.97
93.35,6.41,mild,4.23,24.64,0.62,no,Normal,RWD,243.37,76.67,430.03,56.64,1.65,52.87,430.09
32.51,4.55,hot,-2.98,76.37,0.01,no,Sport,RWD,167.29,136.0,416.38,78.55,0.41,25.54,315.61
