hydrogen_percentage,fuel_cell_age_years,fuel_cell_efficiency,ambient_temp,terrain_slope,speed_avg_kmph,acceleration_level,hvac_on,driving_mode,drive_type,cargo_volume_liters,top_speed_kmph,total_power_kw,total_torque_nm,range_in_km
60.99,3.86,63.02,hot,-1.08,107.13,0.03,no,eco,RWD,1072.71,189.33,215.31,176.89,632.27
57.51,10.01,61.31,cold,-1.73,90.66,0.97,yes,sport,FWD,716.14,286.53,176.1,659.28,496.19
59.39,14.79,40.9,hot,-1.75,54.52,0.74,no,sport,FWD,1933.9,238.52,152.78,966.58,454.22
47.42,14.98,60.3,mild,-1.7,95.81,0.23,no,normal,AWD,794.04,270.6,88.02,932.45,493.55
12.07,14.72,44.83,mild,-0.23,32.87,0.73,no,sport,AWD,1025.34,204.33,96.58,302.36,379.46
15.23,10.86,51.5,hot,-0.88,72.63,0.14,yes,eco,AWD,1047.51,168.94,154.13,792.59,474.24
28.74,13.96,46.58,hot,-4.11,68.47,0.64,yes,normal,FWD,551.03,283.59,239.91,290.91,511.26
22.59,8.57,61.34,cold,4.22,28.59,0.19,yes,sport,FWD,1785.35,297.5,129.19,904.23,456.38
49.03,8.15,40.06,cold,-2.85,108.36,0.85,no,eco,RWD,1250.52,270.11,109.92,788.56,447.9
70.03,5.76,50.28,cold,-3.88,67.9,0.02,yes,eco,RWD,1416.66,185.69,245.56,685.72,632.88
55.89,14.11,60.69,mild,-4.35,37.75,0.5,no,eco,AWD,1218.93,250.14,115.49,692.22,509.39
95.84,10.89,46.07,mild,-3.69,86.09,0.48,no,sport,FWD,398.97,277.46,75.22,313.06,538.14
11.2,8.33,43.46,mild,4.43,116.1,0.7,yes,eco,FWD,1540.53,208.83,243.14,568.39,430.41
93.03,12.58,48.6,mild,3.53,90.32,0.01,yes,normal,FWD,1689.09,298.83,172.61,240.81,559.92
43.12,5.32,56.09,hot,0.86,84.56,0.41,yes,eco,FWD,1947.17,195.11,90.46,396.92,517.57
24.0,9.03,59.83,mild,-1.69,39.54,0.46,yes,normal,RWD,457.27,225.63,112.09,378.45,503.5
49.24,1.2,52.8,cold,4.97,91.92,0.61,yes,eco,RWD,1631.27,192.36,225.53,593.04,567.81
56.5,0.48,45.89,hot,3.21,107.19,0.66,no,eco,RWD,259.16,290.58,151.31,164.03,560.12
18.06,9.78,61.4,cold,-0.08,31.32,0.81,yes,eco,FWD,508.49,298.25,179.77,899.96,509.55
12.82,1.45,40.73,hot,1.14,32.42,0.22,yes,normal,AWD,1781.55,185.11,115.72,883.25,443.7
61.86,1.66,44.8,cold,0.44,47.67,0.93,yes,normal,AWD,1916.07,241.19,103.65,227.3,512.84
14.74,9.49,52.23,mild,-4.46,54.75,0.58,no,normal,AWD,1610.83,157.09,212.77,953.45,476.18
95.09,10.65,50.31,hot,1.72,105.24,0.49,no,eco,RWD,1895.19,152.59,248.52,114.86,601.96
29.29,9.72,63.36,hot,-3.84,93.86,0.91,yes,normal,AWD,971.9,210.09,92.49,952.11,439.95
48.59,1.31,42.38,mild,3.82,61.95,0.37,no,sport,FWD,1496.82,299.69,183.97,197.99,540.05
87.28,3.2,63.5,mild,0.07,38.7,0.94,no,sport,RWD,1066.91,280.84,160.95,364.6,627.47
41.47,2.54,43.43,cold,4.86,89.02,0.29,yes,sport,FWD,1453.67,173.33,188.45,362.09,508.63
74.18,2.46,51.5,cold,0.8,79.65,0.24,yes,normal,FWD,1136.56,197.18,68.65,225.5,567.82
83.0,0.05,40.73,cold,-2.74,50.87,0.18,no,normal,AWD,1407.54,151.25,143.59,873.09,605.47
27.12,6.74,54.2,mild,3.0,44.26,0.13,yes,sport,FWD,1529.41,270.87,150.51,313.1,483.94
98.09,7.05,62.36,hot,-2.96,30.92,0.11,yes,eco,FWD,1549.69,283.55,79.64,871.72,585.72
38.25,12.19,53.47,mild,-1.4,65.34,0.8,yes,normal,RWD,1950.36,238.14,120.57,664.06,430.65
70.49,2.01,55.08,mild,-1.84,88.86,0.52,no,eco,AWD,1330.61,232.32,134.94,376.0,589.4
24.2,11.92,57.87,hot,0.85,68.38,0.28,no,sport,FWD,1148.61,233.22,66.51,164.55,463.12
40.56,8.1,53.6,cold,0.92,23.73,0.12,yes,normal,FWD,1557.72,299.22,89.55,361.8,477.57
33.68,2.59,61.0,mild,1.26,116.23,0.49,no,sport,RWD,1685.27,278.16,55.12,735.58,447.65
40.02,14.6,45.6,cold,-1.35,65.3,0.72,no,eco,RWD,662.95,203.79,146.74,528.13,512.33
88.11,3.87,64.51,mild,-4.76,35.62,0.28,no,eco,RWD,288.82,284.92,219.11,109.5,723.49
67.84,7.07,62.56,hot,-2.61,114.19,0.89,yes,sport,AWD,1179.32,269.89,80.07,869.43,432.52
42.05,1.78,63.14,hot,2.48,68.67,0.52,yes,sport,RWD,1521.01,293.36,57.08,296.55,473.6
34.4,13.42,60.08,cold,-3.62,86.79,0.18,yes,sport,FWD,1592.06,221.23,83.32,647.98,408.16
21.86,5.08,49.78,cold,2.95,97.6,0.58,yes,normal,RWD,1754.24,170.03,65.61,132.99,394.02
11.87,4.84,59.83,mild,1.3,114.94,0.49,no,eco,RWD,1996.16,223.83,62.27,979.93,420.85
99.19,11.21,55.54,hot,-1.72,38.3,0.95,yes,sport,RWD,1708.95,203.31,213.46,291.05,588.52
16.85,9.13,64.7,hot,1.31,26.86,0.01,yes,sport,FWD,1111.14,170.67,104.21,662.27,455.82
38.81,7.95,57.32,mild,-4.07,41.56,0.71,no,normal,AWD,810.56,177.43,144.46,217.14,512.38
68.85,6.41,52.84,hot,-2.44,104.82,0.74,no,normal,RWD,859.4,161.58,108.12,320.73,523.48
91.46,7.9,40.57,mild,-2.3,53.16,0.46,yes,normal,AWD,352.57,156.07,202.49,937.73,585.94
18.95,10.23,56.05,cold,-4.04,79.0,0.93,yes,normal,RWD,1694.13,250.43,179.77,322.9,432.32
37.73,0.47,57.31,hot,1.16,39.26,0.08,yes,normal,RWD,845.84,162.32,171.65,203.49,597.03
72.14,10.12,58.9,mild,-4.67,114.77,0.37,yes,normal,FWD,1576.7,188.84,66.84,223.89,454.57
27.6,2.31,63.42,hot,3.8,82.99,0.04,yes,eco,AWD,1985.37,249.66,181.22,805.53,556.87
24.29,4.85,46.9,hot,-3.97,80.25,0.74,no,sport,AWD,1224.48,295.17,187.27,965.87,507.33
27.45,7.24,41.37,cold,1.3,40.86,0.72,no,sport,FWD,1800.09,229.79,214.47,216.3,500.12
99.96,8.76,57.64,hot,-2.54,60.6,0.59,yes,sport,RWD,569.26,201.6,119.83,565.4,561.26
29.94,10.8,60.56,mild,0.92,25.92,0.32,yes,normal,RWD,1570.01,211.14,216.24,947.85,509.13
69.38,12.59,48.09,cold,0.49,65.69,0.43,yes,normal,FWD,846.51,279.6,152.81,875.12,532.07
82.66,8.24,43.55,hot,1.15,112.79,0.94,no,eco,AWD,1216.29,210.74,206.41,866.08,539.23
16.97,11.26,53.02,hot,-3.78,66.98,0.06,no,sport,FWD,810.51,222.76,230.97,471.15,514.35
45.74,1.14,54.36,mild,1.65,31.78,0.53,yes,sport,AWD,1218.77,164.94,209.48,660.77,548.22
26.71,6.27,58.68,cold,-1.04,40.17,0.17,yes,sport,FWD,1592.38,255.31,232.76,821.69,551.18
64.41,1.76,48.58,cold,-4.03,23.59,0.47,no,eco,AWD,1599.78,232.06,160.5,556.12,558.94
74.19,2.51,55.52,hot,1.75,79.76,0.97,no,normal,RWD,651.43,181.62,96.04,167.11,595.97
92.65,0.48,62.45,mild,0.47,113.26,0.29,no,normal,FWD,1063.76,291.81,194.21,429.95,688.73
42.6,5.36,59.01,cold,-0.83,106.16,0.03,no,normal,RWD,667.09,236.5,117.75,731.93,539.57
71.79,11.36,47.72,hot,2.29,76.55,0.72,yes,eco,FWD,1759.31,162.46,166.5,983.51,549.89
90.44,6.54,54.43,cold,3.32,66.19,0.33,no,normal,RWD,1164.88,187.48,229.68,205.01,684.74
62.07,7.73,51.46,mild,-4.43,36.41,0.19,no,sport,AWD,1303.34,255.16,75.84,547.46,517.97
72.91,3.66,43.7,mild,1.26,30.6,0.19,yes,sport,RWD,1000.97,290.63,55.09,798.25,524.76
10.97,3.1,61.96,cold,1.2,60.3,0.34,no,eco,FWD,1514.56,289.97,156.51,892.49,556.89
40.59,13.05,44.26,mild,-3.0,22.91,0.3,no,sport,RWD,1026.58,229.58,158.81,348.18,479.07
91.76,4.8,41.91,cold,3.33,92.82,0.07,yes,sport,AWD,1081.15,154.95,201.43,582.57,564.37
26.26,11.1,41.06,mild,-4.05,71.77,0.78,no,sport,FWD,655.43,200.1,120.69,436.59,421.29
56.15,11.83,52.13,cold,2.15,83.04,0.15,no,eco,RWD,1647.19,279.55,86.72,704.69,526.89
49.5,14.02,45.11,cold,-1.18,73.59,0.52,yes,eco,AWD,952.89,167.86,144.79,482.08,487.6
61.21,9.22,47.15,cold,0.87,59.24,0.12,no,eco,RWD,1411.57,266.81,232.63,761.37,637.37
58.31,3.62,48.88,cold,-1.16,111.28,0.25,yes,sport,AWD,1945.02,210.55,121.54,371.54,482.55
89.29,11.16,49.45,hot,4.41,90.73,0.8,no,sport,AWD,164.27,223.66,145.31,658.99,545.97
70.15,6.06,49.1,mild,1.54,79.86,0.7,no,normal,FWD,411.76,295.54,179.69,772.78,612.47
12.41,3.25,62.33,cold,-2.78,96.99,0.13,no,eco,RWD,491.53,208.99,231.54,269.5,605.89
85.97,9.66,50.35,mild,4.45,119.34,0.67,no,normal,RWD,1167.75,207.15,75.79,734.18,487.83
58.57,3.33,51.41,hot,-1.26,111.92,0.2,yes,eco,AWD,645.32,201.47,111.68,822.86,529.77
74.75,4.23,64.99,cold,-3.06,65.94,0.3,yes,eco,FWD,1585.02,182.92,233.26,903.28,667.92
90.52,5.81,48.78,mild,-2.19,42.45,0.05,no,eco,FWD,1836.94,166.52,69.08,502.56,610.41
64.42,13.87,41.83,hot,1.64,55.03,0.87,yes,eco,AWD,1324.01,241.22,185.36,167.18,506.23
51.37,7.98,63.01,mild,1.65,23.42,0.18,yes,normal,RWD,921.38,264.94,236.56,609.35,588.45
93.65,5.84,49.44,hot,-1.52,108.81,0.45,yes,eco,FWD,1807.04,284.34,228.79,699.2,609.47
87.13,8.87,54.67,mild,-0.18,40.09,0.76,yes,eco,FWD,1245.18,191.29,123.31,684.73,596.17
85.11,4.65,48.86,mild,-1.8,112.53,0.64,yes,sport,AWD,980.5,233.4,186.51,872.93,508.93
98.46,5.76,58.26,mild,-4.94,53.8,0.75,yes,normal,FWD,965.01,234.54,109.94,187.28,594.66
39.31,2.74,57.56,mild,-4.88,91.61,0.03,no,eco,FWD,888.53,179.51,154.65,238.09,597.47
61.33,14.06,57.65,cold,-1.79,58.37,0.67,no,sport,RWD,976.98,175.36,68.64,101.9,478.98
80.33,7.45,45.87,mild,3.2,88.74,0.6,no,normal,RWD,1389.54,251.9,101.0,931.79,522.56
86.11,4.15,48.75,cold,-2.77,103.65,0.17,no,normal,RWD,689.1,223.12,228.66,848.81,661.44
10.06,0.43,42.64,hot,-4.56,90.67,0.0,yes,normal,RWD,1260.85,251.57,163.62,382.23,487.58
44.99,7.49,62.66,mild,0.53,31.31,0.05,yes,sport,AWD,721.74,243.28,75.01,407.25,520.99
82.82,14.96,43.46,hot,3.64,117.9,0.78,yes,normal,RWD,1033.26,252.25,97.26,953.91,424.33
18.7,3.9,59.86,cold,-2.08,82.34,0.45,no,normal,RWD,775.2,265.96,77.83,549.11,496.63
76.87,14.63,53.71,cold,-4.45,105.41,0.41,yes,normal,RWD,1596.04,267.63,156.58,824.13,489.34
93.96,10.89,45.26,mild,-4.67,68.86,0.79,no,sport,FWD,341.68,247.33,52.28,851.88,508.16
68.79,9.54,47.54,cold,-4.07,112.61,0.47,yes,sport,AWD,1470.67,223.88,170.78,971.49,448.59
22.48,12.36,40.93,cold,3.09,90.81,0.89,no,normal,AWD,1787.22,186.95,120.23,367.74,408.74
39.99,10.53,58.47,mild,2.95,47.79,0.84,no,eco,FWD,1618.37,237.98,50.56,488.89,490.1
65.05,9.68,52.81,cold,4.71,25.79,0.51,no,eco,RWD,117.36,154.67,177.05,472.53,591.81
22.59,7.75,55.78,hot,-0.21,93.62,0.78,yes,eco,AWD,1394.08,156.98,56.13,662.26,419.83
70.75,9.82,51.47,hot,-1.75,40.02,0.32,no,normal,FWD,673.02,208.02,129.68,759.6,578.34
88.36,8.24,49.95,mild,-1.49,58.75,0.97,yes,sport,FWD,729.54,207.64,156.4,143.37,533.31
20.94,7.18,57.98,mild,-4.12,56.75,0.98,no,sport,RWD,1507.45,287.89,140.27,300.59,467.12
42.5,10.12,45.97,mild,-2.0,113.75,0.29,no,eco,FWD,847.01,205.34,198.33,747.83,543.61
82.02,7.88,64.81,mild,-1.58,74.29,0.92,yes,normal,AWD,1241.18,249.47,82.56,433.66,547.87
92.64,5.85,52.99,cold,3.1,38.84,0.48,yes,sport,AWD,358.05,169.87,135.6,972.21,589.92
34.18,1.96,45.83,hot,3.04,86.8,0.36,no,normal,RWD,1459.77,272.93,206.63,839.16,565.35
89.29,13.51,56.31,hot,-3.78,106.6,0.4,no,sport,FWD,1960.56,201.26,89.22,371.35,474.68
83.64,10.22,48.63,mild,-1.64,58.88,0.32,yes,normal,FWD,998.36,295.45,152.22,222.03,579.62
75.83,14.75,55.93,cold,-1.9,91.1,0.69,no,normal,RWD,1356.9,210.9,101.8,914.01,524.89
11.09,6.9,45.81,mild,-2.27,77.01,0.2,yes,sport,AWD,1346.82,171.42,60.59,116.2,399.85
11.28,6.08,61.08,mild,-1.86,41.69,0.3,no,eco,RWD,362.51,170.6,50.95,664.7,516.89
15.28,3.05,51.4,mild,-1.02,24.85,0.1,no,eco,FWD,114.37,288.54,82.05,700.07,558.84
73.37,4.68,63.14,cold,0.28,69.86,0.71,no,sport,AWD,398.19,298.51,233.38,878.68,666.94
41.69,14.14,57.01,hot,-4.63,70.06,0.3,no,sport,AWD,1622.8,183.0,85.75,815.23,466.26
22.33,14.18,58.11,cold,-0.95,27.85,0.78,yes,eco,FWD,754.35,203.31,91.59,909.67,428.48
88.82,5.87,44.4,mild,-4.32,63.6,0.56,no,eco,AWD,433.61,282.61,222.67,112.76,656.71
34.18,14.07,54.63,hot,0.65,114.22,0.1,yes,sport,FWD,1345.07,280.28,201.91,860.65,439.99
19.25,12.82,63.62,cold,3.42,82.96,0.42,no,eco,AWD,1484.33,273.36,150.72,354.52,518.22
87.53,7.99,46.24,hot,-0.44,119.77,0.51,no,normal,AWD,1826.24,167.33,152.08,629.63,535.26
97.29,3.89,53.66,cold,2.7,50.26,0.05,no,normal,FWD,1819.1,266.04,62.61,638.75,593.06
44.71,12.65,56.62,cold,-0.31,55.32,0.13,yes,sport,RWD,567.68,258.74,102.82,888.22,490.5
12.27,8.67,61.74,mild,-1.53,63.82,0.07,yes,normal,AWD,1176.21,152.08,74.89,425.73,458.63
35.86,9.67,53.29,mild,-3.29,102.74,0.76,yes,sport,RWD,411.74,274.81,197.45,110.95,480.26
76.11,3.05,51.75,hot,2.22,92.12,0.99,no,normal,FWD,1256.04,280.52,145.71,888.56,575.49
19.72,12.72,43.95,cold,-4.88,91.47,0.28,no,eco,RWD,1290.73,289.91,81.48,779.29,432.1
58.82,10.23,58.44,mild,-2.67,111.98,0.65,no,normal,FWD,1127.25,188.21,147.79,808.06,530.31
51.03,7.29,51.96,mild,4.42,107.08,0.03,no,eco,AWD,233.2,169.11,103.01,970.24,539.2
86.48,10.28,47.6,mild,4.97,73.13,0.39,no,sport,FWD,347.42,180.65,66.57,426.56,550.51
36.54,2.91,46.66,mild,-3.67,55.18,0.67,no,normal,RWD,1378.85,216.95,69.9,321.54,487.98
95.48,1.51,43.08,cold,2.53,91.93,0.54,no,sport,AWD,1514.23,215.51,54.53,766.61,518.98
59.3,0.43,54.73,cold,0.13,98.13,0.89,yes,eco,FWD,883.3,263.72,75.86,288.59,535.61
33.8,6.38,61.86,mild,2.31,101.56,0.8,yes,sport,FWD,1133.61,166.78,217.08,892.08,499.85
54.21,13.57,55.29,hot,0.18,85.02,0.06,no,sport,AWD,1676.72,273.81,235.95,694.22,585.69
10.5,3.04,57.3,cold,-3.92,104.82,0.25,yes,eco,AWD,767.24,250.87,134.09,612.18,491.87
43.68,7.67,53.28,cold,4.04,108.39,0.96,no,normal,RWD,1038.77,238.44,102.57,358.2,454.67
33.15,11.85,41.56,cold,2.41,47.4,0.02,no,sport,RWD,1465.27,153.78,113.19,334.54,477.9
94.22,7.67,53.72,cold,-2.85,77.84,0.68,no,eco,AWD,901.51,217.05,245.75,844.54,680.45
34.97,8.01,46.42,cold,-0.96,82.26,0.26,yes,normal,RWD,840.0,276.93,107.23,547.71,506.3
18.33,8.58,42.05,mild,4.14,47.99,0.78,no,sport,RWD,846.7,169.61,184.47,653.88,446.29
98.07,14.15,44.2,mild,-3.69,77.35,0.55,yes,normal,RWD,1532.25,173.08,225.89,186.27,552.89
88.91,5.02,59.88,hot,4.09,116.97,0.69,no,eco,RWD,1343.29,210.99,122.61,808.83,585.81
94.79,0.25,46.58,mild,-4.32,44.9,0.99,no,sport,FWD,958.73,214.02,205.09,660.47,627.21
11.04,4.35,62.57,mild,2.44,74.51,0.21,yes,sport,AWD,1043.01,289.23,132.95,806.97,478.61
52.83,8.73,63.22,hot,-3.02,32.91,0.46,no,eco,RWD,1636.99,291.47,51.1,208.58,527.27
49.23,4.43,44.19,cold,-2.93,85.49,0.9,no,eco,FWD,1240.32,202.88,122.99,467.81,536.1
83.51,2.72,57.29,cold,1.73,70.91,0.27,yes,sport,AWD,171.97,295.19,240.73,595.05,656.8
94.05,13.71,41.38,cold,-0.02,51.95,0.74,no,eco,FWD,1581.16,276.92,235.39,816.66,621.78
18.5,9.85,64.13,hot,1.26,100.33,0.13,yes,eco,FWD,1498.72,220.91,244.19,419.78,556.75
12.33,9.26,58.44,cold,4.15,49.96,0.11,yes,eco,RWD,1287.33,203.03,200.9,186.55,533.82
21.86,9.37,56.22,hot,3.24,50.05,0.46,no,sport,AWD,1898.59,254.8,149.89,400.19,461.04
72.12,0.01,53.63,mild,-0.43,110.6,0.71,no,normal,FWD,370.42,213.05,140.09,948.03,584.77
50.52,9.04,64.82,mild,3.1,85.5,0.63,yes,eco,RWD,698.04,150.41,210.57,292.82,582.97
85.88,11.5,61.49,hot,2.95,97.45,0.47,no,normal,FWD,1758.67,155.74,189.48,303.7,569.67
77.93,7.84,43.83,cold,1.53,80.47,0.38,yes,normal,RWD,1314.52,160.95,150.75,210.89,574.91
70.16,9.21,54.32,cold,4.61,90.72,0.98,no,eco,FWD,561.58,270.11,232.87,297.43,618.71
10.88,4.11,57.03,cold,3.03,28.01,0.51,yes,sport,RWD,904.19,221.31,193.17,261.08,482.43
71.59,9.57,52.36,cold,2.0,23.25,0.62,no,normal,AWD,1457.13,247.69,221.92,925.85,579.11
71.75,2.31,58.42,mild,-4.9,93.79,0.74,yes,sport,AWD,527.15,199.2,236.77,811.08,589.57
76.5,10.49,48.96,hot,-4.74,113.78,0.52,no,normal,FWD,261.09,216.2,190.37,788.88,536.85
26.98,6.1,51.75,hot,3.63,100.02,0.46,no,normal,AWD,1410.75,217.55,166.75,670.76,506.76
98.57,4.71,62.92,hot,2.44,111.43,0.05,yes,eco,FWD,1739.45,194.97,180.12,780.05,623.99
31.52,5.21,45.63,mild,4.87,75.34,0.66,no,eco,RWD,381.87,183.06,179.14,661.59,555.0
33.11,5.47,61.1,hot,3.17,35.99,0.28,no,sport,AWD,1823.43,192.57,192.83,272.42,525.97
39.02,5.38,43.46,cold,4.52,105.29,0.12,no,eco,RWD,1074.38,259.16,151.59,215.67,509.84
78.23,10.57,45.48,hot,3.37,58.85,0.57,yes,sport,AWD,135.78,227.94,139.11,956.72,525.22
93.61,6.39,53.55,mild,-4.41,25.32,0.66,no,sport,RWD,1444.38,156.48,145.19,222.08,550.73
80.53,12.03,56.63,cold,-4.48,93.44,0.44,no,normal,RWD,1120.81,169.89,132.31,449.7,539.06
57.61,2.38,48.64,mild,-2.54,50.78,0.86,no,normal,FWD,806.39,208.5,88.25,711.59,536.7
73.92,2.89,40.35,mild,0.79,51.91,0.82,no,sport,FWD,827.1,266.79,189.54,158.98,583.02
64.08,9.3,55.41,cold,-0.66,37.42,0.05,no,sport,AWD,136.82,160.31,237.6,108.84,625.78
37.64,7.6,49.54,cold,4.22,70.19,0.12,yes,sport,RWD,1287.73,226.98,148.11,193.12,488.6
98.97,7.04,60.92,cold,-4.56,98.73,0.15,no,sport,FWD,1735.29,258.12,248.7,405.27,659.37
72.62,12.92,55.61,mild,-2.97,42.5,0.12,yes,eco,AWD,1298.0,190.52,199.58,970.29,601.46
85.64,7.52,59.44,cold,2.05,58.1,0.91,yes,eco,FWD,921.27,243.62,69.05,136.33,565.1
51.14,9.99,57.5,hot,-3.18,100.44,0.72,no,sport,RWD,413.16,292.05,186.81,995.05,523.13
55.7,12.49,51.44,mild,-0.43,84.62,0.25,yes,normal,RWD,1706.97,153.47,204.82,438.72,540.66
58.8,4.51,50.27,cold,-3.95,91.19,0.01,yes,eco,RWD,1955.14,214.22,244.34,713.43,584.26
82.44,12.8,54.36,hot,4.77,65.15,0.61,yes,eco,RWD,1255.27,285.77,170.62,934.2,572.61
68.36,14.98,43.2,hot,-3.58,47.56,0.38,yes,normal,AWD,804.32,272.15,120.46,558.94,473.01
66.69,3.48,57.46,cold,-1.72,77.11,0.54,no,sport,AWD,1560.03,227.33,138.65,142.01,581.26
57.79,3.84,64.86,hot,-0.37,83.63,0.31,no,sport,RWD,451.35,237.26,59.14,134.78,558.55
49.56,8.3,48.66,cold,3.0,99.98,0.12,no,eco,RWD,598.8,187.99,99.93,600.11,544.18
53.3,5.55,54.89,mild,0.43,21.63,0.95,yes,eco,AWD,245.21,245.02,214.22,498.89,587.25
64.41,6.07,52.09,hot,-0.76,79.52,0.54,yes,sport,AWD,1263.16,253.5,86.86,579.77,483.47
74.81,1.05,42.57,hot,1.3,37.38,0.0,yes,eco,RWD,202.6,299.92,226.7,570.37,670.61
36.46,10.05,53.38,mild,-2.08,29.3,0.75,no,sport,FWD,493.06,183.26,136.36,635.81,479.06
60.67,12.36,42.13,mild,-3.84,32.65,0.23,yes,normal,FWD,1938.21,225.84,214.42,600.43,526.43
83.45,5.61,57.36,hot,-1.15,20.79,0.86,no,sport,RWD,769.51,225.66,112.48,563.65,558.24
74.75,8.91,60.83,hot,4.29,37.92,0.42,no,sport,AWD,1808.31,262.0,187.6,499.16,560.75
30.85,2.6,58.11,mild,3.54,23.61,0.41,yes,sport,RWD,336.5,171.15,207.85,369.0,527.45
40.61,1.9,49.08,mild,-2.45,101.42,0.94,yes,eco,FWD,439.01,208.4,226.41,171.92,559.13
62.86,11.53,46.03,hot,3.09,113.62,0.91,yes,eco,AWD,1382.18,267.69,168.17,666.66,454.69
15.96,3.82,42.46,mild,-2.16,87.06,0.53,yes,normal,AWD,765.82,249.28,108.27,867.49,457.47
75.15,2.18,47.08,hot,1.45,42.11,0.47,yes,eco,FWD,352.07,291.94,231.56,696.91,657.18
56.12,5.29,59.87,cold,1.2,114.78,0.05,yes,sport,FWD,517.67,180.06,248.47,735.61,570.4
75.06,0.7,61.28,hot,2.56,37.15,0.06,yes,eco,RWD,1212.21,299.19,240.87,218.05,679.58
36.17,11.36,48.31,mild,-4.78,58.59,0.93,yes,normal,AWD,208.43,175.99,61.7,414.64,429.05
66.45,9.87,43.74,mild,4.14,26.74,0.3,yes,eco,FWD,1569.44,158.94,113.05,637.32,494.87
10.5,1.49,55.31,hot,-1.92,36.72,0.16,yes,sport,FWD,1730.57,229.25,77.94,242.16,455.45
12.24,7.52,41.26,cold,0.55,73.44,0.5,yes,normal,AWD,1750.47,151.05,166.31,779.22,462.77
28.29,6.13,59.08,mild,-2.25,20.35,0.03,yes,eco,FWD,244.14,172.49,61.79,395.14,513.81
38.49,5.68,45.14,mild,-4.48,106.23,0.0,yes,normal,FWD,745.5,164.36,153.14,413.85,474.3
49.23,5.49,56.52,mild,-2.02,78.13,0.32,yes,sport,RWD,744.02,172.82,127.79,663.7,542.48
87.36,12.26,44.75,cold,1.64,47.23,0.88,no,eco,FWD,1800.34,198.66,145.71,130.75,558.04
58.17,13.38,57.55,cold,1.08,103.72,0.06,no,normal,AWD,254.02,267.2,207.48,775.22,583.48
60.74,4.21,56.78,cold,4.26,39.91,0.93,no,eco,AWD,1008.94,189.38,136.6,476.12,552.79
11.64,0.33,42.04,cold,0.36,102.22,0.45,no,eco,FWD,1531.92,262.59,194.56,255.99,518.77
95.54,1.28,41.76,cold,2.94,43.59,0.05,no,normal,FWD,1369.74,211.67,225.97,534.69,693.36
88.13,7.34,49.4,cold,-1.38,78.98,0.98,yes,eco,RWD,749.29,224.24,116.87,972.01,563.51
88.24,11.94,57.74,hot,1.63,32.22,0.99,no,normal,FWD,1845.74,161.4,141.47,842.42,560.69
63.21,8.57,48.17,hot,3.44,39.15,0.7,yes,normal,RWD,455.81,184.18,114.17,145.59,496.14
59.03,2.18,46.47,mild,1.2,103.8,0.39,no,eco,AWD,1624.71,238.62,150.01,188.86,541.4
50.04,1.83,54.4,mild,4.37,96.74,0.17,yes,eco,RWD,788.89,242.26,203.33,887.77,594.71
23.73,12.06,61.26,mild,-1.57,26.93,0.22,no,eco,FWD,1146.77,156.1,232.96,407.01,564.47
